## Second Vector Machine ## 
Actual duration	Predicted duration
396.19			392
441.23			430
340.07			358
424.1			405
351.8			389
380.5			390
360.09			376
325.9			355
328.01			356
378.54			382
404.52			394
413.35			395
436.73			418
395.5			394
389.62			404
437.85			417
360.45			371
408.4			404
405.55			397
387.71			381
400.85			406
405.92			399
368.24			381
417.41			409
348.72			370
397.05			399
344.34			356
393.09			406
459.05			431
432.73			422
390.74			391
392.5			393
337.85			356
418.25			406
366.06			381
345.27			376
354.3			384
365			368
395.34			387
347.71			362
385.51			392
346.37			359
347.74			373
442.44			411
323.48			356
369.25			374
351.32			364
390.12			391
451.92			431
318.49			348
423.88			411
390.41			382
346.28			373
373.93			387
413.89			411
395.35			398
332.22			355
429.46			415
423.79			414
431.7			404
401.1			401
393.63			384
325.55			351
451.6			420
423.26			410
423.15			416
373.09			386
395.22			404
350.44			368
423.5			401
380.56			388
391.76			384
387.4			387
385.55			382
428.17			407
397.47			402
434.04			416
397.35			403
353.56			369
391.25			397
397.69			379
390.25			395
414.01			408
462.03			425
363.37			371
439.16			427
315			351
411			404
374.23			377
399.46			396
381.36			383
384.4			397
431.63			415
382.93			386
370.35			374
337.64			360
410.37			416
411.21			393
375.1			378
391.53			392
428.33			427
387.02			394
342.31			370
421.1			395
418.25			418
407.05			412
337.48			366
371.86			405
367.09			382
335.46			360
412.45			399
415.53			406
366.2			364
398.52			403
378.21			389
437.19			408
328.26			358
399.26			390
377.31			384
360.97			372
360.05			380
391.62			397
380.69			396
420.81			418
395.53			400
375.95			393
399.27			396
412.14			419
404.17			399
354.77			381
420.78			407
367.71			371
421.68			398
389.81			386
377.24			381
378.93			379
407			388
403.18			407
431.76			399
334.76			350
355.07			387
354.08			377
385.34			398
456.37			429
431.57			412
400.16			398
332.44			360
404.58			398
382.56			392
419.71			404
395.16			398
344.26			370
410.03			411
428.91			398
415.3			403
419.92			406
420.93			401
361.21			379
358.61			384
363.29			380
416.42			412
376.85			384
423.56			413
358.11			375
422.74			412
471.99			428
392.29			393
364.23			374
363.7			368
389.44			387
387.07			406
376.8			391
386.06			382
425.96			414
414.7			411
369.37			387
384.81			375
430.73			420
385.76			386
424.62			407
368.79			393
376.6			386
405.08			398
424.18			411
384.23			408
346.78			362
403.19			401
401.67			400
409.33			407
387.75			394
363.89			372
420.11			398
389.17			393
401.88			392
360.08			369
429.49			419
438.23			415
382.95			389
403.28			413
431.49			419

RESULT
Mean Absolute Error	13.114
Root Mean Square Error	16.263
R^2	0.742057
